wingo,year
Karat Coalition,2008
La Strada International,2013
Ladies European Tour,2003
Ladies European Tour,2008
Latin American Association for the Development and Integration of Women,1993
Latin American Association for the Development and Integration of Women,1998
Latin American Federation of University Women,2003
Latin American Federation of University Women,2008
Latin American Federation of University Women,2013
Latin American Women Association on Smoking Control,1998
Latin American Women's Press Agency,1998
Latin American Women's Press Agency,2003
Latin American Women's Press Agency,2013
Latin American and Caribbean Committee for the Defense of Women's Rights,1998
Latin American and Caribbean Committee for the Defense of Women's Rights,2003
Latin American and Caribbean Committee for the Defense of Women's Rights,2008
Latin American and Caribbean Committee for the Defense of Women's Rights,2013
Latin American and Caribbean Consortium against Unsafe Abortion,2013
Latin American and Caribbean Feminist Network Against Domestic and Sexual Violence,1998
Latin American and Caribbean Feminist Network Against Domestic and Sexual Violence,2003
Latin American and Caribbean Feminist Network Against Domestic and Sexual Violence,2008
Latin American and Caribbean Feminist Network Against Domestic and Sexual Violence,2013
Latin American and Caribbean Women's Health Network,1993
Latin American and Caribbean Women's Health Network,1998
Latin American and Caribbean Women's Health Network,2003
Latin American and Caribbean Women's Health Network,2008
Latin American and Caribbean Women's Health Network,2013
Medical Women's International Association,1955
Medical Women's International Association,1960
Medical Women's International Association,1965
Medical Women's International Association,1973
Medical Women's International Association,1978
Medical Women's International Association,1983
Medical Women's International Association,1988
Medical Women's International Association,1998
Medical Women's International Association,2003
Medical Women's International Association,2008
Medical Women's International Association,2013
Medical Women's international Association,1993
Mediterranean Mothers Movement,1998
Mediterranean Mothers Movement,2003
Mediterranean Mothers Movement,2008
Mediterranean Mothers' Movement,2013
Mediterranean Women's Studies Institute,1993
Mediterranean Women's Studies Institute,2003
Mediterranean Women's Studies Institute,2008
"Mother's Union, The",2003
"Mothers' Union, The",2013
Network of East West Women,1998
Network of East West Women,2003
Network of East West Women,2008
Network of East-West Women,2013
Network of Latin American Writers,2008
Network of Women Parliamentarians of the Americas,2008
Network of Women Parliamentarians of the Americas,2013
Nordic Association for Women's Studies and Gender Research,1998
Nordic Association for Women's Studies and Gender Research,2003
Nordic Association for Women's Studies and Gender Research,2008
Nordic Association for Women's Studies and Gender Research,2013
Nordic Housewives Association,1983
Nordic Housewives Association,1988
Nordic Housewives Association,1993
Nordic Information for Gender Knowledge,2013
Nordic Midwives Association,1988
Nordic Midwives Association,1993
Nordic Midwives Association,1998
Nordic Midwives Association,2003
Nordic Midwives Association,2008
Nordic Midwives Association,2013
Nordic Network for Women in Physics,2013
Nordic Network of Women in Physics,2008
Nordic Women's Peace Network,1998
Nordic Women's Peace Network,2003
Nordic Women's Peace Network,2008
Nordic Women's Peace Network,2013
Nordic-Baltic Network of Policewomen,2013
Older Women's Network - Europe,2013
Older Women's Network --Europe,1998
Older Women's Network --Europe,2003
Older Women's Network --Europe,2008
Open Door International: for the Economic Emancipation of the Woman Worker,2013
Open-door International: for the Economic Emancipation of the Woman Worker,1955
Open-door International: for the Economic Emancipation of the Woman Worker,1960
Open-door International: for the Economic Emancipation of the Woman Worker,1965
Open-door International: for the Economic Emancipation of the Woman Worker,1973
Open-door International: for the Economic Emancipation of the Woman Worker,1978
Open-door International: for the Economic Emancipation of the Woman Worker,1983
Open-door International: for the Economic Emancipation of the Woman Worker,1988
Open-door International: for the Economic Emancipation of the Woman Worker,1993
Open-door International: for the Economic Emancipation of the Woman Worker,1998
Open-door International: for the Economic Emancipation of the Woman Worker,2003
Organization for Women in Science for the Developing World,2013
Pacific Basin Maternal Health Resource Center,1993
Pacific Foundation for the Advancement of Women,2008
Pacific Foundation for the Advancement of Women,2013
Pan African Christian Women Alliance,1993
Pan African Christian Women Alliance,2013
Pan African Christian Women's Alliance,2008
Pan African Women's Organization,1983
Pan African Women's Organization,1993
Pan African Women's Organization,1998
Pan African Women's Organization,2003
Pan African Women's Organization,2013
Pan African Women's Organizationl,1988
Pan American Medical Women's Alliance,1960
Pan American Medical Women's Alliance,1965
Pan American Medical Women's Alliance,1973
Pan American Medical Women's Alliance,1978
Pan American Medical Women's Alliance,1983
Pan American Medical Women's Alliance,1988
Pan American Medical Women's Alliance,1993
Pan American Medical Women's Alliance,2008
Pan American Medical Women's Alliance,2013
Pan Pacifc and South East Asia Women's Association,1998
Pan Pacific and South East Asia Women's Association,1955
Pan Pacific and South East Asia Women's Association,1960
Pan Pacific and South East Asia Women's Association,1965
Pan Pacific and South East Asia Women's Association,1973
Pan Pacific and South East Asia Women's Association,1978
Pan Pacific and South East Asia Women's Association,1983
Pan Pacific and South East Asia Women's Association,1988
Pan Pacific and South East Asia Women's Association,1993
Pan Pacific and South East Asia Women's Association,2003
Pan Pacific and South East Asia Women's Association,2008
Pan Pacific and South East Asia Women's Association,2013
Pathfinder International,2013
Red de Escritoras Latinoamericanas,2013
Red de Escritoras Latinoamericanas / Network of Latinamerican Writers,2013
Regional Prevention of Maternal Mortality Network,2003
Regional Prevention of Maternal Mortality Network,2008
Reseau Femmes Africaines et Droits Humains,1998
SAARC Federation of University Women,2003
SAARC Federation of University Women,2008
SAARC Federation of University Women,2013
Sakyadhita International Association of Buddhist Women,2003
Sakyadhita International Association of Buddhist Women,2008
Sakyadhita International Association of Buddhist Women,2013
Salvation Army Nurses Fellowship,1983
Salvation Army Nurses Fellowship,1988
Salvation Army Women's Ministries,1988
Salvation Army Women's Ministries,1998
Salvation Army Women's Ministries,2003
Salvation Army Women's Ministries,2008
Salvation Army Women's Ministries,2013
Social Watch / Control Ciudadano,2013
Socialist International Women,1960
Socialist International Women,1965
Socialist International Women,1973
Socialist International Women,1978
Socialist International Women,1983
Socialist International Women,1988
Socialist International Women,1993
Socialist International Women,1998
Socialist International Women,2003
Socialist International Women,2008
Society for Women and AIDS in Africa,2008
Society for Women and AIDS in Africa,2013
Soroptimist International,1955
Soroptimist International,1960
Soroptimist International,1965
Soroptimist International,1973
Soroptimist International,1978
Soroptimist International,1983
Soroptimist International,1988
Soroptimist International,1993
Soroptimist International,1998
Soroptimist International,2003
Soroptimist International,2008
Soroptimist International,2013
Soroptimist International of Europe,1983
Soroptimist International of Europe,1988
Soroptimist International of Europe,1993
Soroptimist International of Europe,2003
Soroptimist International of Europe,2008
Soroptimist International of Europe,2013
Soroptimist International of Great Britain and Ireland,2008
Soroptimist International of Great Britain and Ireland,2013
Soroptimist International of the Americas,1983
Soroptimist International of the Americas,1988
Soroptimist International of the Americas,1993
Soroptimist International of the Americas,2003
Soroptimist International of the Americas,2008
Soroptimist International of the Americas,2013
Soroptimist International of the South West Pacifc,1988
Soroptimist International of the South West Pacifc,1993
Soroptimist International of the South West Pacifc,2003
Soroptimist International of the South West Pacifc,2013
Soroptimist International of the South West Pacific,2008
Southeast Asia Women's Caucus on ASEAN,2013
Southern African Network of Nurses and Midwives,2013
Sport Association of Arab Women,2003
Sport Association of Arab Women,2008
Sport Association of Arab Women,2013
St. Joan's International Alliance,1960
St. Joan's International Alliance,1965
St. Joan's International Alliance,1973
Supreme Ladies Auxiliary Knights of St. John,1993
Swedish Women's Educational Association International,2003
Swedish Women's Educational Association International,2008
Swedish Women's Educational Association International,2013
Terre des Femmes,2003
Terre des Femmes,2008
The Grail - International Movement of Christian Women,2013
Third World Movement Against the Exploitation of Women,1988
Third World Movement Against the Exploitation of Women,1993
Third World Movement Against the Exploitation of Women,1998
Third World Movement Against the Exploitation of Women,2003
Third World Movement Against the Exploitation of Women,2013
Third World Organization for Women in Science,1993
Third World Organization for Women in Science,1998
Third World Organization for Women in Science,2003
Third World Organization for Women in Science,2008
Trickle Up Program,1993
Trickle Up Program,1998
Trickle Up Program,2013
Trickle Up Program,2014
UNANIMA International,2013
Union of Christian Democratic Women,2013
Unione Intercontinentale Casalinghe,2003
Unione Intercontinentale Casalinghe,2008
Unione Intercontinentale Casalinghe,2013
United Nations of Women's Guild,1983
United Nations of Women's Guild,1988
United Nations of Women's Guild,1993
United Nations of Women's Guild,1998
University Women of Asia,2003
University Women of Asia,2008
University Women of Asia,2013
University Women of Europe,1988
University Women of Europe,1993
University Women of Europe,1998
University Women of Europe,2003
University Women of Europe,2008
University Women of Europe,2013
Virginia Gildersleeve International Fund Universities Women,1993
Virginia Gildersleeve International Fund Universities Women,1998
Virginia Gildersleeve International Fund Universities Women,2003
Virginia Gildersleeve International Fund Universities Women,2008
Virginia Gildersleeve International Fund Universities Women,2013
Volontariato Internazionale Donna Educazione Sviluppo,2013
WIDE+,2013
West African Women's Association,2003
West African Women's Association,2008
White Ribbon Alliance for Safe Motherhood,2013
Womankind Worldwide,1993
Womankind Worldwide,2014
Women Advancing Microfinance International,2013
Women Against Cervical Cancer,2013
Women Against Violence Europe,2013
Women Human Rights Net,2008
Women Human Rights Net,2013
Women Leaders Network,2003
Women Leaders Network,2008
Women Leaders Network,2014
Women Living Under Muslim Laws,1993
Women Living Under Muslim Laws,1998
Women Living Under Muslim Laws,2003
Women Living Under Muslim Laws,2014
Women Professional Golfers' European Tour,1993
Women Professional Golfers' European Tour,1998
Women against Violence Europe,2003
Women against Violence Europe,2008
Women and Development Unit,1988
Women and Gender in Chinese Studies Network,2003
Women and Gender in Chinese Studies Network,2008
Women and Gender in Chinese Studies Network,2013
Women and Law in Southern Africa Research Trust,1993
Women and Law in Southern Africa Research Trust,2003
Women and Law in Southern Africa Research Trust,2008
Women and Law in Southern Africa Research Trust,2013
Women for Mutual Security,1993
Women for Mutual Security,1998
Women for Mutual Security,2003
Women for Mutual Security,2008
Women for Mutual Security,2013
Women for Water Partnership,2013
"Women for Water, Water for Women",2008
Women in Black,2003
Women in Black,2008
Women in Black,2013
Women in Development Europe,1998
Women in Development Europe,2003
Women in Development Europe,2008
Women in Europe for a Common Future,2003
Women in Europe for a Common Future,2008
Women in Europe for a Common Future,2013
Women in Film,2003
Women in Film,2008
Women in Film,2013
Women in Film and Television International,2008
Women in Informal Employment: Globalizing and Organizing,2013
Women in Law and Development in Africa,1998
Women in Law and Development in Africa,2003
Women in Law and Development in Africa,2008
Women in Law and Development in Africa,2013
Women in Nuclear,2003
Women in Nuclear,2008
Women in Nuclear,2013
Women of Europe Award,2003
Women of Europe Award,2008
Women's Association for Natural Medicine Therapy,2003
Women's Corona Society,1983
Women's Corona Society,1988
Women's Corona Society,1993
Women's Education Worldwide,2013
Women's Environment and Development Network,1998
Women's Environment and Development Network,2014
Women's European Network of Documentation and Information,2013
Women's Exchange Programme International,1993
Women's Exchange Programme International,1998
Women's Exchange Programme International,2008
Women's Feature Service,2013
Women's Feature Services,1993
Women's Feature Services,1998
Women's Feature Services,2003
Women's Feature Services,2008
Women's Global Network Reproductive Rights,1983
Women's Global Network Reproductive Rights,1988
Women's Global Network Reproductive Rights,1993
Women's Global Network Reproductive Rights,1998
Women's Global Network Reproductive Rights,2003
Women's Global Network Reproductive Rights,2008
Women's Global Network for Reproductive Rights,2013
Women's Information Network of Europe,2013
Women's International Cultural Federation,1973
Women's International Cultural Federation,1978
Women's International Cultural Federation,1983
Women's International Cultural Federation,1993
Women's International Cultural Federation,1998
Women's International Cultural Federation,2003
Women's International Cultural Federation,2008
Women's International Democratic Federation,1955
Women's International Democratic Federation,1965
Women's International Democratic Federation,1973
Women's International Democratic Federation,1978
Women's International Democratic Federation,1983
Women's International Democratic Federation,1988
Women's International Democratic Federation,1993
Women's International Democratic Federation,1998
Women's International Democratic Federation,2003
Women's International Democratic Federation,2008
Women's International Democratic Federation,2013
Women's International League for Peace and Freedom,1955
Women's International League for Peace and Freedom,1960
Women's International League for Peace and Freedom,1965
Women's International League for Peace and Freedom,1973
Women's International League for Peace and Freedom,1978
Women's International League for Peace and Freedom,1983
Women's International League for Peace and Freedom,1988
Women's International League for Peace and Freedom,1993
Women's International League for Peace and Freedom,1998
Women's International League for Peace and Freedom,2003
Women's International League for Peace and Freedom,2008
Women's International League for Peace and Freedom,2013
Women's International Liaison Committee for International Cooperation,1965
Women's International Motorcycle Association,2008
Women's International Motorcycle Association,2013
Women's International Network,2013
Women's International Network,2014
Women's International ORT,1983
Women's International Public Health Network,1993
Women's International Public Health Network,1998
Women's International Public Health Network,2003
Women's International Public Health Network,2008
Women's International Public Health Network,2013
Women's International Shipping and Trading Association,1998
Women's International Shipping and Trading Association,2003
Women's International Shipping and Trading Association,2008
Women's International Shipping and Trading Association,2013
Women's International Squash Players Association,1993
Women's International Squash Players Association,2003
Women's International Squash Players Association,2008
Women's International Studies Europe,1993
Women's International Studies Europe,1998
Women's International Studies Europe,2003
Women's International Studies Europe,2008
Women's International Studies Europe,2013
Women's International Zionist Organization,1955
Women's International Zionist Organization,1960
Women's International Zionist Organization,1965
Women's International Zionist Organization,1973
Women's International Zionist Organization,1978
Women's International Zionist Organization,1983
Women's International Zionist Organization,1988
Women's International Zionist Organization,1993
Women's International Zionist Organization,1998
Women's International Zionist Organization,2003
Women's International Zionist Organization,2008
Women's International Zionist Organization,2013
"Women's Learning Partnership for Rights, Development and Peace",2013
Women's Network of the Council for Adult Education in Latin America,1993
Women's Network of the Council for Adult Education in Latin America,2008
Women's Network of the World Federation for Mental Health,1993
Women's Network of the World Federation for Mental Health,1998
Women's Network of the World Federation for Mental Health,2003
Women's Network of the World Federation for Mental Health,2008
Women's Squash Association,2013
Women's Working Group on Financing for Development,2013
Women's World Banking,1988
Women's World Banking,1993
Women's World Banking,1998
Women's World Banking,2003
Women's World Banking,2008
Women's World Banking,2013
"Women's World Organization for Rights, Literature and Development",2003
"Women's World Organization for Rights, Literature and Development",2008
"Women's World Organization for Rights, Literature and Development",2013
WomenSport International,2013
Womenet,1998
Womensport International,2008
World Association of Girl Guides and Girl Scouts,2013
World Association of Girls Guides and Girlscouts,1960
World Association of Girls Guides and Girlscouts,1965
World Association of Girls Guides and Girlscouts,1973
World Association of Girls Guides and Girlscouts,1978
World Association of Girls Guides and Girlscouts,1983
World Association of Girls Guides and Girlscouts,1988
World Association of Girls Guides and Girlscouts,1993
World Association of Girls Guides and Girlscouts,1998
World Association of Girls Guides and Girlscouts,2003
World Association of Girls Guides and Girlscouts,2008
World Association of Women Entrepreneurs,1960
World Association of Women Entrepreneurs,1965
World Association of Women Entrepreneurs,1973
World Association of Women Entrepreneurs,1978
World Association of Women Entrepreneurs,1983
World Association of Women Entrepreneurs,1988
World Association of Women Entrepreneurs,1993
World Association of Women Entrepreneurs,1998
World Association of Women Entrepreneurs,2003
World Association of Women Entrepreneurs,2008
World Association of Women Journalists and Writers,1998
World Association of Women Journalists and Writers,2003
World Association of Women Journalists and Writers,2008
World Emunah Religious Zionist Women's Organization,2013
World Federation of Catholic Young Women and Girls,1960
World Federation of Catholic Young Women and Girls,1965
World Federation of Methodist Women,1955
World Federation of Methodist Women,1965
World Federation of Methodist Women,1973
World Federation of Methodist Women,1988
World Federation of Methodist Women,1993
World Federation of Methodist Women,1998
World Federation of Methodist Women,2003
World Federation of Methodist Women,2008
World Federation of Methodist and Uniting Church Women,2013
World Federation of Ukrainian Women's Organizations,1988
World Federation of Ukrainian Women's Organizations,1993
World Federation of Ukrainian Women's Organizations,2003
World Federation of Ukrainian Women's Organizations,2008
World Federation of Ukrainian Women's Organizations,2013
World Movement of Mothers,1950
World Movement of Mothers,1955
World Movement of Mothers,1960
World Movement of Mothers,1965
World Movement of Mothers,1973
World Movement of Mothers,1978
World Movement of Mothers,1983
World Movement of Mothers,1988
World Movement of Mothers,1993
World Movement of Mothers,1998
World Movement of Mothers,2003
World Movement of Mothers,2008
World Movement of Mothers,2013
World Union Catholic Women's Organization,1998
World Union of Catholic Women's Organization,1955
World Union of Catholic Women's Organization,1965
World Union of Catholic Women's Organization,1973
World Union of Catholic Women's Organization,1978
World Union of Catholic Women's Organization,1983
World Union of Catholic Women's Organization,1988
World Union of Catholic Women's Organization,1993
World Union of Catholic Women's Organization,2003
World Union of Catholic Women's Organization,2008
World Union of Catholic Women's Organizations,2013
World Women Parliamentarians for Peace,1988
World Women Parliamentarians for Peace,1993
World Women Parliamentarians for Peace,1998
World Young Women's Christian Association,1955
World Young Women's Christian Association,1960
World Young Women's Christian Association,1965
World Young Women's Christian Association,1973
World Young Women's Christian Association,1978
World Young Women's Christian Association,1983
World Young Women's Christian Association,1988
World Young Women's Christian Association,1993
World Young Women's Christian Association,1998
World Young Women's Christian Association,2003
World Young Women's Christian Association,2008
World Young Women's Christian Association,2013
World Youth Alliance,2013
World's Woman's Christian Temperance Union,1960
World's Woman's Christian Temperance Union,1965
World's Woman's Christian Temperance Union,1973
World's Woman's Christian Temperance Union,1978
World's Woman's Christian Temperance Union,1983
World's Woman's Christian Temperance Union,1988
World's Woman's Christian Temperance Union,1993
World's Woman's Christian Temperance Union,1998
World's Woman's Christian Temperance Union,2003
World's Woman's Christian Temperance Union,2008
World's Woman's Christian Temperance Union,2013
World's Women's Christian Temperance Union,1955
WorldWIDE - World Women in Defense of the Environment,2013
Worldwide Organization of Women's Studies,2008
Zonta International,1955
Zonta International,1960
Zonta International,1965
Zonta International,1973
Zonta International,1978
Zonta International,1983
Zonta International,1988
Zonta International,1993
Zonta International,1998
Zonta International,2003
Zonta International,2008
Zonta International,2013
ABANTU for Development,2003
Asian Peasant Women Network,1998
Association of Women of Europe,1983
Centre d'expertises socio-politiques et de mí©diations,1998
Centre d'expertises socio-politiques et de mí©diations,2003
Centre d'expertises socio-politiques et de mí©diations,2008
Coalition of African Lesbians,2008
EuroFEM Gender and Human Settlements,2003
European Federation for the Disappearance of Prostitution,1998
European Federation for the Disappearance of Prostitution,2003
European Federation for the Disappearance of Prostitution,2008
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2003
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Women's International Studies Europe,2013
Women's International Zionist Organization,1955
Women's International Zionist Organization,1960
Women's International Zionist Organization,1965
Women's International Zionist Organization,1973
Women's International Zionist Organization,1978
Women's International Zionist Organization,1983
Women's International Zionist Organization,1988
Women's International Zionist Organization,1993
Women's International Zionist Organization,1998
Women's International Zionist Organization,2003
Women's International Zionist Organization,2008
Women's International Zionist Organization,2013
"Women's Learning Partnership for Rights, Development and Peace",2013
Women's Network of the Council for Adult Education in Latin America,1993
Women's Network of the Council for Adult Education in Latin America,2008
Women's Network of the World Federation for Mental Health,1993
Women's Network of the World Federation for Mental Health,1998
Women's Network of the World Federation for Mental Health,2003
Women's Network of the World Federation for Mental Health,2008
Women's Squash Association,2013
Women's Working Group on Financing for Development,2013
Women's World Banking,1988
Women's World Banking,1993
Women's World Banking,1998
Women's World Banking,2003
Women's World Banking,2008
Women's World Banking,2013
"Women's World Organization for Rights, Literature and Development",2003
"Women's World Organization for Rights, Literature and Development",2008
"Women's World Organization for Rights, Literature and Development",2013
WomenSport International,2013
Womenet,1998
Womensport International,2008
World Association of Girl Guides and Girl Scouts,2013
World Association of Girls Guides and Girlscouts,1960
World Association of Girls Guides and Girlscouts,1965
World Association of Girls Guides and Girlscouts,1973
World Association of Girls Guides and Girlscouts,1978
World Association of Girls Guides and Girlscouts,1983
World Association of Girls Guides and Girlscouts,1988
World Association of Girls Guides and Girlscouts,1993
World Association of Girls Guides and Girlscouts,1998
World Association of Girls Guides and Girlscouts,2003
World Association of Girls Guides and Girlscouts,2008
World Association of Women Entrepreneurs,1960
World Association of Women Entrepreneurs,1965
World Association of Women Entrepreneurs,1973
World Association of Women Entrepreneurs,1978
World Association of Women Entrepreneurs,1983
World Association of Women Entrepreneurs,1988
World Association of Women Entrepreneurs,1993
World Association of Women Entrepreneurs,1998
World Association of Women Entrepreneurs,2003
World Association of Women Entrepreneurs,2008
World Association of Women Journalists and Writers,1998
World Association of Women Journalists and Writers,2003
World Association of Women Journalists and Writers,2008
World Emunah Religious Zionist Women's Organization,2013
World Federation of Catholic Young Women and Girls,1960
World Federation of Catholic Young Women and Girls,1965
World Federation of Methodist Women,1955
World Federation of Methodist Women,1965
World Federation of Methodist Women,1973
World Federation of Methodist Women,1988
World Federation of Methodist Women,1993
World Federation of Methodist Women,1998
World Federation of Methodist Women,2003
World Federation of Methodist Women,2008
World Federation of Methodist and Uniting Church Women,2013
World Federation of Ukrainian Women's Organizations,1988
World Federation of Ukrainian Women's Organizations,1993
World Federation of Ukrainian Women's Organizations,2003
World Federation of Ukrainian Women's Organizations,2008
World Federation of Ukrainian Women's Organizations,2013
World Movement of Mothers,1950
World Movement of Mothers,1955
World Movement of Mothers,1960
World Movement of Mothers,1965
World Movement of Mothers,1973
World Movement of Mothers,1978
World Movement of Mothers,1983
World Movement of Mothers,1988
World Movement of Mothers,1993
World Movement of Mothers,1998
World Movement of Mothers,2003
World Movement of Mothers,2008
World Movement of Mothers,2013
World Union Catholic Women's Organization,1998
World Union of Catholic Women's Organization,1955
World Union of Catholic Women's Organization,1965
World Union of Catholic Women's Organization,1973
World Union of Catholic Women's Organization,1978
World Union of Catholic Women's Organization,1983
World Union of Catholic Women's Organization,1988
World Union of Catholic Women's Organization,1993
World Union of Catholic Women's Organization,2003
World Union of Catholic Women's Organization,2008
World Union of Catholic Women's Organizations,2013
World Women Parliamentarians for Peace,1988
World Women Parliamentarians for Peace,1993
World Women Parliamentarians for Peace,1998
World Young Women's Christian Association,1955
World Young Women's Christian Association,1960
World Young Women's Christian Association,1965
World Young Women's Christian Association,1973
World Young Women's Christian Association,1978
World Young Women's Christian Association,1983
World Young Women's Christian Association,1988
World Young Women's Christian Association,1993
World Young Women's Christian Association,1998
World Young Women's Christian Association,2003
World Young Women's Christian Association,2008
World Young Women's Christian Association,2013
World Youth Alliance,2013
World's Woman's Christian Temperance Union,1960
World's Woman's Christian Temperance Union,1965
World's Woman's Christian Temperance Union,1973
World's Woman's Christian Temperance Union,1978
World's Woman's Christian Temperance Union,1983
World's Woman's Christian Temperance Union,1988
World's Woman's Christian Temperance Union,1993
World's Woman's Christian Temperance Union,1998
World's Woman's Christian Temperance Union,2003
World's Woman's Christian Temperance Union,2008
World's Woman's Christian Temperance Union,2013
World's Women's Christian Temperance Union,1955
WorldWIDE - World Women in Defense of the Environment,2013
Worldwide Organization of Women's Studies,2008
Zonta International,1955
Zonta International,1960
Zonta International,1965
Zonta International,1973
Zonta International,1978
Zonta International,1983
Zonta International,1988
Zonta International,1993
Zonta International,1998
Zonta International,2003
Zonta International,2008
Zonta International,2013
ABANTU for Development,2003
Asian Peasant Women Network,1998
Association of Women of Europe,1983
Centre d'expertises socio-politiques et de mí©diations,1998
Centre d'expertises socio-politiques et de mí©diations,2003
Centre d'expertises socio-politiques et de mí©diations,2008
Coalition of African Lesbians,2008
EuroFEM Gender and Human Settlements,2003
European Federation for the Disappearance of Prostitution,1998
European Federation for the Disappearance of Prostitution,2003
European Federation for the Disappearance of Prostitution,2008
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2003
"European Non-Governmental Organizations for Sexual and Reproductive Health and Rights, Population and Development",2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
International Coalition on Women and Credit,2003
International Collective in Support of Fishworkers,2008
International Commission for the Abolition of Sexual Mutilation,1988
International Committee of Solidarity with the Struggle of Women in South Africa and Namibia,1983
International Communication Network for Women,1985
International Health Awareness Network,1998
International Health Awareness Network,2003
International Health Awareness Network,2008
Latin American Movement of Working Women,1983
Latin American Movement of Working Women,1988
Mediterranean Committee on the Advancement of Women,1988
Microcredit Summit Campaign,2003
Microcredit Summit Campaign,2008
Pathfinder International,1983
Pathfinder International,1988
Pathfinder International,1993
Pathfinder International,1998
Pathfinder International,2003
Pathfinder International,2008
Population Action International,1993
Population Action International,1998
Population Action International,2003
Population Action International,2008
Settlements Information Network Africa,2008
Settlements Information Network Africa,2013
Sisterhood is Global Institute,1998
Sisterhood is Global Institute,2003
Sisterhood is Global Institute,2008
Social Watch / Control Ciudadano,2003
Social Watch / Control Ciudadano,2008
Southeast Asia Watch,2008
White Ribbon Campaign in Europe,2003
White Ribbon Campaign in Europe,2008
Women Proutists,1993
Women Proutists,1998
Women Proutists,2003
World Alliance for Breastfeeding Action,2003
World Alliance for Breastfeeding Action,2008
Green Belt Movement,1993
Green Belt Movement,1998
Green Belt Movement,2003
Green Belt Movement,2008
Hunger Project,1993
Hunger Project,1998
Hunger Project,2003
Hunger Project,2008
Inter-American Parliamentary Group on Population and Development (IAPG),2008
International Baby Food Action Network,1983
International Baby Food Action Network,1988
International Baby Food Action Network,1993
International Baby Food Action Network,1998
International Baby Food Action Network,2003
International Coalition on Women and Credit,1998
